iter	Passed	Remaining
0	43	43476
1	106	53131
2	124	41350
3	189	47129
4	230	45844
5	255	42333
6	308	43747
7	355	44099
8	387	42701
9	431	42683
10	476	42855
11	535	44109
12	578	43958
13	625	44025
14	649	42671
15	701	43123
16	743	43011
17	784	42797
18	827	42713
19	880	43128
20	912	42562
21	950	42239
22	1010	42905
23	1052	42794
24	1071	41779
25	1120	41958
26	1141	41151
27	1194	41466
28	1230	41210
29	1267	40970
30	1321	41322
31	1359	41131
32	1398	40974
33	1424	40485
34	1465	40419
35	1491	39933
36	1539	40060
37	1575	39890
38	1610	39684
39	1651	39629
40	1690	39543
41	1733	39532
42	1753	39024
43	1809	39320
44	1836	38974
45	1871	38807
46	1914	38827
47	1952	38716
48	2002	38858
49	2040	38776
50	2096	39015
51	2153	39255
52	2217	39618
53	2255	39521
54	2310	39692
55	2331	39305
56	2370	39220
57	2429	39464
58	2478	39530
59	2525	39567
60	2567	39526
61	2623	39695
62	2669	39699
63	2709	39628
64	2749	39553
65	2789	39482
66	2845	39627
67	2877	39440
68	2921	39416
69	2997	39828
70	3027	39607
71	3080	39700
72	3135	39814
73	3206	40124
74	3263	40254
75	3313	40281
76	3355	40223
77	3419	40417
78	3467	40430
79	3539	40700
80	3563	40434
81	3628	40617
82	3637	40185
83	3662	39939
84	3707	39915
85	3731	39655
86	3781	39685
87	3837	39774
88	3887	39788
89	3916	39597
90	3953	39491
91	4010	39584
92	4051	39509
93	4092	39441
94	4140	39444
95	4186	39420
96	4223	39319
97	4291	39503
98	4346	39555
99	4398	39590
100	4458	39683
101	4511	39717
102	4561	39726
103	4614	39754
104	4672	39826
105	4737	39955
106	4787	39957
107	4823	39839
108	4869	39805
109	4911	39741
110	4958	39710
111	4983	39511
112	5025	39447
113	5061	39338
114	5109	39322
115	5154	39283
116	5212	39339
117	5234	39123
118	5267	38995
119	5280	38721
120	5331	38730
121	5417	38986
122	5495	39182
123	5539	39135
124	5591	39143
125	5637	39102
126	5715	39286
127	5730	39036
128	5789	39089
129	5808	38869
130	5828	38662
131	5882	38679
132	5923	38610
133	5954	38483
134	6014	38534
135	6048	38422
136	6097	38410
137	6138	38341
138	6201	38411
139	6263	38474
140	6289	38316
141	6351	38377
142	6393	38317
143	6440	38286
144	6497	38310
145	6563	38394
146	6626	38454
147	6684	38480
148	6706	38305
149	6726	38114
150	6787	38161
151	6845	38192
152	6880	38090
153	6915	37990
154	6945	37865
155	7000	37873
156	7033	37768
157	7066	37658
158	7115	37635
159	7164	37612
160	7196	37500
161	7216	37327
162	7256	37260
163	7273	37076
164	7336	37126
165	7413	37246
166	7460	37212
167	7530	37294
168	7589	37317
169	7610	37157
170	7668	37178
171	7730	37216
172	7779	37187
173	7804	37048
174	7848	36998
175	7901	36991
176	7917	36812
177	7988	36890
178	8037	36864
179	8053	36688
180	8084	36581
181	8121	36503
182	8161	36434
183	8215	36433
184	8280	36477
185	8324	36431
186	8356	36330
187	8403	36294
188	8439	36214
189	8494	36213
190	8564	36274
191	8579	36104
192	8633	36100
193	8681	36066
