iter	Logloss
0	0.6740296797
1	0.6542869304
2	0.6396328179
3	0.6234907036
4	0.6072568591
5	0.5959710885
6	0.5823251896
7	0.5698786649
8	0.5581843128
9	0.5475595181
10	0.5385408048
11	0.5291856458
12	0.521687897
13	0.5134022643
14	0.5072792635
15	0.5002854427
16	0.4943315534
17	0.488279276
18	0.4836652869
19	0.4788906322
20	0.4742824532
21	0.4701656608
22	0.466147523
23	0.4628223545
24	0.4599720975
25	0.4567071458
26	0.4537254136
27	0.450256364
28	0.4469194178
29	0.4437826543
30	0.4415051883
31	0.439032549
32	0.4375617707
33	0.4360187898
34	0.4337720884
35	0.4326858895
36	0.4302177922
37	0.4287441785
38	0.426563043
39	0.4246955792
40	0.4221567604
41	0.4206890179
42	0.4199288981
43	0.4177462464
44	0.4165240469
45	0.4142262832
46	0.412047588
47	0.4111155657
48	0.4099135939
49	0.4082994051
50	0.407320156
51	0.4060341831
52	0.405360522
53	0.4040331857
54	0.4027329699
55	0.4022283816
56	0.4016313662
57	0.4004451333
58	0.3992089486
59	0.3984683751
60	0.397290737
61	0.3963507387
62	0.3949252839
63	0.393981686
64	0.3930262023
65	0.3922819199
66	0.3908593426
67	0.3891994731
68	0.3878577845
69	0.387127856
70	0.3870087072
71	0.3862789338
72	0.3857060588
73	0.3849512023
74	0.3840732406
75	0.383458382
76	0.3829561607
77	0.3815925808
78	0.3810741248
79	0.3805911444
80	0.3804990076
81	0.3797954842
82	0.37978961
83	0.3797821354
84	0.3785569932
85	0.3784603836
86	0.3776734061
87	0.3773125282
88	0.3768118886
89	0.3766719841
90	0.3765155179
91	0.3754921077
92	0.3747929918
93	0.3737793634
94	0.3731442782
95	0.372511648
96	0.3722136186
97	0.3713688632
98	0.3703336006
99	0.3697300607
100	0.3692341581
101	0.3685943921
102	0.3677116294
103	0.3672647376
104	0.3666923012
105	0.3658620084
106	0.3653263237
107	0.3651497998
108	0.364705987
109	0.3646389985
110	0.3639032227
111	0.3638247263
112	0.3626874204
113	0.3620743348
114	0.3614309902
115	0.3607441899
116	0.3599786964
117	0.3599519897
118	0.3598360301
119	0.3598360296
120	0.3589874225
121	0.3587131515
122	0.3585016801
123	0.3584122522
124	0.3583603451
125	0.3579251487
126	0.3571367688
127	0.3571367666
128	0.3568720971
129	0.3568720962
130	0.3567959727
131	0.3565501632
132	0.356516792
133	0.3560278103
134	0.3559056868
135	0.3558666569
136	0.3553584628
137	0.3553304658
138	0.3551598552
139	0.3548719438
140	0.3547813432
141	0.3541549459
142	0.3541537367
143	0.3537732663
144	0.353576031
145	0.353073049
146	0.3527734788
147	0.3524985593
148	0.3524747101
149	0.3524728358
150	0.3523200031
151	0.3522731331
152	0.3522731229
153	0.3519265079
154	0.3518292349
155	0.3514642163
156	0.3513989764
157	0.3513152957
158	0.3510150462
159	0.350949228
160	0.350548614
161	0.3505204513
162	0.3501191582
163	0.3501191187
164	0.3500227306
165	0.3496289741
166	0.3493986569
167	0.3490538868
168	0.3488772278
169	0.3488770782
170	0.3483546978
171	0.3479989525
172	0.3476542703
173	0.347648173
174	0.3472837761
175	0.3466421069
176	0.3466419915
177	0.3461930401
178	0.345962741
179	0.3459566572
180	0.3459517072
181	0.3459468638
182	0.3456759391
183	0.3455377802
184	0.345348535
185	0.3449572357
186	0.3449444104
187	0.3445427315
188	0.3442779781
189	0.3439058175
190	0.3438201762
191	0.3438201435
192	0.3434709943
193	0.3431009645
