iter	Logloss
0	0.6749137101
1	0.6567416848
2	0.6442515819
3	0.6329901078
4	0.6220384119
5	0.6097450154
6	0.5956367821
7	0.5821177451
8	0.5698436752
9	0.5579021538
10	0.5498042066
11	0.539294615
12	0.5313753683
13	0.5223664752
14	0.5146180117
15	0.5081102587
16	0.5011735206
17	0.4953057695
18	0.4891681328
19	0.4839376428
20	0.4780113886
21	0.4741329981
22	0.4703293526
23	0.4656932494
24	0.4621364455
25	0.4582716324
26	0.454884321
27	0.4516401818
28	0.449027689
29	0.4465386535
30	0.4434320963
31	0.4407306861
32	0.4384285501
33	0.43734796
34	0.4346324312
35	0.4329853413
36	0.4305185453
37	0.4281164291
38	0.4256666126
39	0.4243834482
40	0.4222530257
41	0.4207989833
42	0.4188878261
43	0.4182687847
44	0.4165684436
45	0.4146613803
46	0.4134003724
47	0.4122584387
48	0.4112941953
49	0.4109112979
50	0.4102770367
51	0.4092680624
52	0.4078273656
53	0.4067112162
54	0.4057524052
55	0.4053192151
56	0.4040144326
57	0.4032221094
58	0.4022176331
59	0.4005825268
60	0.3999511595
61	0.3986601403
62	0.3980128922
63	0.3978080543
64	0.3969201727
65	0.396548222
66	0.3952886173
67	0.3947755139
68	0.3933558303
69	0.3925461305
70	0.3916296052
71	0.3909059649
72	0.3908348916
73	0.3904632211
74	0.3898336938
75	0.3889819108
76	0.3882677462
77	0.3878253172
78	0.3873018577
79	0.3865391677
80	0.3864684
81	0.3862013397
82	0.3856676328
83	0.3851882227
84	0.3843835838
85	0.3835980012
86	0.3831389265
87	0.3822622786
88	0.3817615265
89	0.3812382723
90	0.3808011707
91	0.3804158335
92	0.3798824411
93	0.3793216037
94	0.3792009532
95	0.378772679
96	0.3783148965
97	0.3782745258
98	0.3779754824
99	0.3778750438
100	0.3771761709
101	0.3767755589
102	0.3762079845
103	0.3757899432
104	0.3756917582
105	0.3749426624
106	0.3746656525
107	0.3746445722
108	0.3743950813
109	0.373844612
110	0.373396557
111	0.3724330286
112	0.372432807
113	0.3723389065
114	0.3722569254
115	0.3718750071
116	0.3718220825
117	0.3714600695
118	0.3707381712
119	0.3707269281
120	0.3703966986
121	0.370245736
122	0.3701466069
123	0.3701344872
124	0.369657082
125	0.3693103428
126	0.3693024635
127	0.3687660982
128	0.3681342754
129	0.3680639213
130	0.367890656
131	0.3678863114
132	0.3674883916
133	0.3671522622
134	0.3668456319
135	0.366803883
136	0.3666212609
137	0.3666212604
138	0.3666212603
139	0.3664059506
140	0.3660463657
141	0.3659823282
142	0.3658223759
143	0.365806426
144	0.3651704473
145	0.3648504606
146	0.3641807281
147	0.3641658683
148	0.3640777442
149	0.3635866
150	0.3635865839
151	0.3635342095
152	0.3631846787
153	0.3629950148
154	0.362572746
155	0.3625428528
156	0.362394825
157	0.3619727085
158	0.3617906683
159	0.3609302689
160	0.3608046148
161	0.3607896696
162	0.3606394039
163	0.3601508753
164	0.360150857
165	0.3600925486
166	0.3600924997
167	0.3597883304
168	0.359780608
169	0.3596859373
170	0.3596679855
171	0.3595554328
172	0.3589751555
173	0.3584270466
174	0.3582312295
175	0.3579728669
176	0.3579613378
177	0.3577646477
178	0.3572840176
179	0.3570602957
180	0.3566744116
181	0.3566637793
182	0.3566632952
183	0.3564790297
184	0.356370558
185	0.3560061804
186	0.3556202917
187	0.3555856727
188	0.3550050142
189	0.3549630313
190	0.3543917764
191	0.3540814109
192	0.3539379537
193	0.3539171201
194	0.353917022
195	0.3538753358
196	0.3536965914
197	0.3534565391
198	0.3532789196
199	0.3532607025
200	0.3532280698
201	0.3531633652
202	0.3524092807
203	0.3522520334
204	0.3522505913
205	0.3520194809
206	0.3520139767
207	0.3519127337
208	0.3513521986
209	0.3513521753
210	0.351346639
211	0.3511422538
212	0.3511298447
213	0.3508145839
214	0.3506132588
215	0.3505142394
216	0.3503190916
217	0.3501481724
218	0.3500533044
219	0.3500532961
220	0.3497510456
221	0.3497442143
222	0.349356707
223	0.3491834841
224	0.3489710153
225	0.3489598916
226	0.348889221
227	0.348818712
228	0.3485511038
229	0.3484117502
