iter	Passed	Remaining
0	35	35583
1	74	37397
2	102	34230
3	144	35878
4	189	37623
5	233	38655
6	278	39507
7	292	36303
8	303	33386
9	335	33184
10	367	33010
11	397	32695
12	425	32270
13	466	32820
14	516	33888
15	531	32683
16	572	33104
17	604	32964
18	648	33465
19	687	33676
20	712	33221
21	746	33189
22	768	32657
23	799	32493
24	829	32334
25	872	32669
26	915	32991
27	962	33422
28	979	32810
29	1011	32721
30	1059	33105
31	1085	32845
32	1120	32836
33	1176	33428
34	1195	32967
35	1232	32994
36	1274	33162
37	1287	32594
38	1306	32182
39	1353	32492
40	1385	32405
41	1430	32621
42	1471	32738
43	1499	32581
44	1550	32914
45	1589	32967
46	1644	33348
47	1664	33008
48	1709	33183
49	1739	33056
50	1784	33209
51	1817	33133
52	1863	33301
53	1897	33233
54	1956	33608
55	1981	33400
56	2021	33437
57	2043	33188
58	2099	33488
59	2157	33795
60	2203	33924
61	2255	34116
62	2287	34029
63	2327	34040
64	2353	33852
65	2400	33973
66	2417	33660
67	2458	33694
68	2505	33810
69	2538	33731
70	2565	33572
71	2628	33880
72	2695	34230
73	2719	34025
74	2763	34086
75	2796	33995
76	2826	33877
77	2864	33859
78	2912	33958
79	2949	33923
80	3000	34037
81	3048	34132
82	3090	34141
83	3125	34079
84	3178	34210
85	3224	34268
86	3267	34292
87	3289	34093
88	3308	33866
89	3351	33888
90	3397	33942
91	3425	33809
92	3473	33879
93	3514	33871
94	3557	33892
95	3599	33892
96	3612	33625
97	3661	33701
98	3712	33785
99	3768	33912
100	3805	33876
101	3854	33937
102	3898	33952
103	3927	33839
104	3968	33827
105	3996	33704
106	4043	33743
107	4080	33698
108	4099	33510
109	4132	33434
110	4166	33368
111	4187	33199
112	4243	33309
113	4291	33354
114	4343	33428
115	4385	33422
116	4421	33366
117	4461	33347
118	4504	33346
119	4546	33340
120	4579	33267
121	4620	33255
122	4668	33284
123	4712	33290
124	4768	33382
125	4805	33336
126	4853	33361
127	4880	33249
128	4893	33041
129	4937	33044
130	4955	32875
131	4977	32733
132	5012	32677
133	5064	32733
134	5096	32654
135	5114	32490
136	5156	32482
137	5211	32550
138	5235	32429
139	5268	32365
140	5309	32349
141	5345	32299
142	5373	32201
143	5421	32227
144	5480	32316
145	5516	32270
146	5566	32298
147	5611	32302
148	5645	32241
149	5682	32199
150	5740	32276
151	5806	32396
152	5835	32302
153	5860	32193
154	5900	32169
155	5951	32197
156	6010	32274
157	6025	32108
158	6054	32025
159	6091	31978
160	6136	31975
161	6160	31868
162	6206	31868
163	6236	31792
164	6283	31796
165	6304	31671
166	6336	31604
167	6374	31567
168	6387	31406
169	6445	31468
170	6500	31513
171	6541	31492
172	6591	31509
173	6647	31557
174	6673	31459
175	6717	31449
176	6760	31436
177	6769	31263
178	6801	31196
179	6845	31183
180	6865	31066
181	6881	30930
182	6936	30967
183	6978	30949
184	7025	30949
185	7037	30799
186	7077	30770
187	7108	30700
188	7148	30674
189	7190	30653
190	7232	30632
191	7265	30577
192	7288	30475
193	7326	30439
194	7351	30346
195	7403	30369
196	7443	30339
197	7489	30337
198	7525	30289
199	7572	30290
200	7603	30223
201	7641	30188
202	7684	30169
203	7725	30144
204	7764	30110
205	7815	30121
206	7847	30061
207	7894	30057
208	7934	30028
209	7987	30047
210	8003	29928
211	8042	29894
212	8077	29845
213	8109	29784
214	8142	29729
215	8189	29724
216	8221	29665
217	8256	29615
218	8287	29555
219	8327	29523
220	8373	29514
221	8419	29504
222	8473	29525
223	8519	29513
224	8553	29462
225	8595	29437
226	8643	29435
227	8651	29292
228	8672	29197
229	8706	29147
230	8751	29132
231	8788	29093
232	8834	29080
233	8874	29049
234	8933	29082
235	8989	29102
236	9022	29046
237	9056	28994
238	9086	28933
239	9132	28918
240	9188	28937
241	9208	28841
242	9230	28755
243	9274	28737
244	9313	28702
245	9365	28705
246	9405	28672
247	9447	28648
248	9491	28625
249	9539	28618
250	9594	28630
251	9631	28589
252	9661	28525
253	9718	28543
254	9749	28484
255	9778	28418
256	9855	28492
257	9905	28487
258	9946	28457
259	9982	28410
260	10000	28316
261	10026	28242
262	10044	28146
263	10076	28091
264	10132	28102
265	10167	28056
266	10215	28045
267	10272	28057
268	10318	28039
269	10367	28031
270	10421	28033
271	10482	28056
272	10514	27999
273	10552	27961
274	10580	27894
275	10623	27867
276	10671	27853
277	10704	27800
278	10738	27750
279	10773	27702
280	10796	27625
281	10849	27623
282	10891	27594
283	10940	27582
284	10977	27539
285	11017	27505
286	11066	27491
287	11097	27434
288	11148	27427
289	11199	27419
290	11255	27423
291	11304	27409
292	11339	27362
293	11387	27344
294	11436	27330
295	11485	27317
296	11524	27278
297	11575	27268
298	11624	27253
299	11674	27241
300	11710	27195
301	11759	27179
302	11809	27166
303	11856	27145
304	11897	27110
305	11932	27061
306	11980	27043
307	12018	27002
308	12057	26963
309	12101	26934
310	12131	26877
311	12174	26846
312	12219	26819
313	12256	26776
314	12293	26733
315	12347	26727
316	12382	26679
317	12431	26662
318	12471	26624
319	12501	26564
320	12539	26524
321	12574	26476
322	12621	26455
323	12650	26395
324	12691	26358
325	12731	26322
326	12772	26287
327	12815	26256
328	12858	26225
329	12888	26168
330	12919	26111
