iter	Logloss
0	0.6749676899
1	0.6565848754
2	0.6406688825
3	0.6258146158
4	0.6105560897
5	0.5961138591
6	0.5828387431
7	0.5720812853
8	0.5624387468
9	0.5521471755
10	0.5417753413
11	0.5319362141
12	0.5241290745
13	0.5154110517
14	0.5075835353
15	0.5023288254
16	0.4959723473
17	0.4908495506
18	0.4858528045
19	0.4802087766
20	0.4752460479
21	0.4704372128
22	0.4671131455
23	0.4647416967
24	0.4615924386
25	0.4576857243
26	0.4542013357
27	0.4498593933
28	0.4476181211
29	0.4447398245
30	0.4412790024
31	0.4389541546
32	0.4367082734
33	0.4346241468
34	0.4332512947
35	0.4307732128
36	0.428605093
37	0.4272628072
38	0.4264118066
39	0.4245410204
40	0.4226203986
41	0.4208222513
42	0.4197774518
43	0.4187613063
44	0.4170181286
45	0.415662342
46	0.4144081617
47	0.4138743915
48	0.4129947837
49	0.412381224
50	0.4111218773
51	0.4093853314
52	0.4082435956
53	0.4072097128
54	0.4058882274
55	0.4055886079
56	0.4039859171
57	0.4038131636
58	0.4029374739
59	0.4022207147
60	0.401155123
61	0.4001668662
62	0.3990446286
63	0.398680982
64	0.3984970581
65	0.3978939197
66	0.3977951441
67	0.396684693
68	0.3961913948
69	0.396108868
70	0.3957013544
71	0.3948932387
72	0.3943295005
73	0.3940997712
74	0.3928493036
75	0.3923537067
76	0.3915664069
77	0.3911538397
78	0.389944716
79	0.3893420992
80	0.3889944972
81	0.3884105195
82	0.3879713763
83	0.3870204583
84	0.3866657106
85	0.3864363536
86	0.3857076337
87	0.3849098974
88	0.3847712425
89	0.3840272344
90	0.3836383532
91	0.3835209054
92	0.382937644
93	0.3825513644
94	0.382295466
95	0.3819736139
96	0.3819649089
97	0.3813077089
98	0.3807067795
99	0.3801100764
100	0.3796377345
101	0.3792557864
102	0.378742306
103	0.3786772816
104	0.3781665752
105	0.3778343833
106	0.377480333
107	0.3768961886
108	0.3768587985
109	0.3760892387
110	0.3760347056
111	0.3760342395
112	0.3754283671
113	0.3749802571
114	0.3745113953
115	0.374122278
116	0.3731066973
117	0.3725912708
118	0.3723348148
119	0.3719404224
120	0.3717686373
121	0.3716434384
122	0.3714396587
123	0.371136175
124	0.3707178327
125	0.3704997548
126	0.3700563062
127	0.3698980587
128	0.3698802571
129	0.3698119677
130	0.3697800326
131	0.3697674381
132	0.3693544567
133	0.3688802703
134	0.3686737074
135	0.3686715979
136	0.3679961009
137	0.3677502179
138	0.3676756738
139	0.3674773737
140	0.3670598637
141	0.3665482494
142	0.3664899342
143	0.3659570497
144	0.3655998329
145	0.3654914243
146	0.3645183408
147	0.3640261719
148	0.3637752693
149	0.3635838865
150	0.3634443758
151	0.3630160034
152	0.3630116218
153	0.3629895104
154	0.3626826397
155	0.3625113775
156	0.3615155897
157	0.3615126529
158	0.3614510071
159	0.3610221482
160	0.3606946139
161	0.3606653682
162	0.3602872147
163	0.3602846797
164	0.3597445261
165	0.3594847542
166	0.3594198122
167	0.3591990127
168	0.3591989853
169	0.3589707906
170	0.3588985517
171	0.3587400893
172	0.3584735406
173	0.3583461847
174	0.3583371256
175	0.3580764053
176	0.3580589483
177	0.3580582626
178	0.3579159235
179	0.3576150492
180	0.3576042191
181	0.3576041507
182	0.3573972987
183	0.3572682571
184	0.3568596552
185	0.3568595829
186	0.3566996371
187	0.3560872824
188	0.3556960655
189	0.3555259237
190	0.3553795491
191	0.3552741687
192	0.3549614722
193	0.3544745478
194	0.3543181632
195	0.3542180422
196	0.3539646311
197	0.353604721
198	0.3534765488
199	0.3531407491
200	0.3531404405
201	0.3529523178
202	0.3527324988
203	0.3525653855
204	0.3524315055
205	0.3518523779
206	0.3518165331
207	0.3516224054
208	0.3514540411
209	0.3508931093
210	0.3508929757
211	0.3506777874
212	0.3505435525
