iter	Logloss
0	0.6750300823
1	0.6547511415
2	0.6367071362
3	0.6206695796
4	0.6053877208
5	0.591139337
6	0.5794521519
7	0.566635507
8	0.5554595167
9	0.5452132698
10	0.5365047894
11	0.5277245064
12	0.51924669
13	0.5118230011
14	0.5047680679
15	0.4985355227
16	0.4944579364
17	0.4887844677
18	0.4835866998
19	0.4783820869
20	0.4745644721
21	0.4695048302
22	0.4656754926
23	0.4621724142
24	0.4593411917
25	0.4569353639
26	0.4548063153
27	0.4512449191
28	0.4480787892
29	0.4459621008
30	0.4443166232
31	0.4425523099
32	0.4397328726
33	0.4382196182
34	0.435405396
35	0.4329123038
36	0.4315703271
37	0.4296514972
38	0.428914079
39	0.428093889
40	0.425066058
41	0.4243650722
42	0.4228507495
43	0.4213574529
44	0.4196437403
45	0.4176013371
46	0.41561858
47	0.4140816705
48	0.413802421
49	0.4123540887
50	0.4115862098
51	0.4101099406
52	0.4094198093
53	0.4081143109
54	0.4072123833
55	0.4060104574
56	0.4050675038
57	0.4043986969
58	0.403242428
59	0.4023565636
60	0.4018763618
61	0.4017400925
62	0.4003528044
63	0.3996388083
64	0.3993847436
65	0.3991945542
66	0.3981362918
67	0.3973922301
68	0.3965944361
69	0.3964770016
70	0.3953358131
71	0.3941342115
72	0.3939973618
73	0.3932474415
74	0.3919530613
75	0.3917181919
76	0.3916429336
77	0.3908506633
78	0.3906662612
79	0.3893158297
80	0.3892736969
81	0.3887815526
82	0.3882622475
83	0.3873368522
84	0.3869304563
85	0.3864353128
86	0.3856267328
87	0.3846696077
88	0.3846148164
89	0.3841355651
90	0.3839086718
91	0.3834135008
92	0.3824678185
93	0.3819031149
94	0.3817647126
95	0.3814584444
96	0.3806997339
97	0.3803609129
98	0.3799968621
99	0.3794481049
100	0.3793744845
101	0.3792895579
102	0.3792236515
103	0.378770516
104	0.3781784608
105	0.3773687558
106	0.3767716334
107	0.3767407764
108	0.3766252747
109	0.3763718597
110	0.3758141378
111	0.3750273304
112	0.3744295285
113	0.3741532172
114	0.373746243
115	0.3731397145
116	0.3731352473
117	0.3728354945
118	0.3722273565
119	0.3716318259
120	0.3712692583
121	0.371269245
122	0.3712402425
123	0.370934442
124	0.3707308674
125	0.3706215403
126	0.3703773797
127	0.3697323997
128	0.3693819396
129	0.3693148042
130	0.3692462621
131	0.3691940359
132	0.3690264541
133	0.3682975668
134	0.3676892855
135	0.3669764496
136	0.3664445907
137	0.3663898842
138	0.3663372481
139	0.3659280367
140	0.3656140403
141	0.3653706882
142	0.36536692
143	0.3652901784
