iter	Logloss
0	0.6572299417
1	0.6280412863
2	0.6025240104
3	0.581510533
4	0.5630201715
5	0.547878662
6	0.5343443976
7	0.5227780358
8	0.5105214968
9	0.4998352487
10	0.4904543734
11	0.4834939292
12	0.4775035387
13	0.4714719118
14	0.4652339411
15	0.4594200407
16	0.4549113456
17	0.4502329639
18	0.4469889725
19	0.4436986014
20	0.4412434141
21	0.4383832301
22	0.4358142354
23	0.4331036747
24	0.4314989499
25	0.4297806846
26	0.4282191242
27	0.4266861462
28	0.4247643122
29	0.423507598
30	0.4216594841
31	0.4205191589
32	0.4197235364
33	0.4188767232
34	0.4179100728
35	0.416883277
36	0.4164195822
37	0.415417525
38	0.4149159184
39	0.4141776934
40	0.41393596
41	0.4133803913
42	0.4127489547
43	0.4120702132
44	0.4117267476
45	0.4114309743
46	0.4106498192
47	0.4099740652
48	0.4098509176
49	0.4094857051
50	0.4089493068
51	0.4085475383
52	0.408269952
53	0.4079747502
54	0.4076370994
55	0.4072238552
56	0.406962744
57	0.4066506225
58	0.4062213956
59	0.4059292208
60	0.4057470243
61	0.4053180505
62	0.4052042983
63	0.4046341733
64	0.4043059328
65	0.40412272
66	0.4039134752
67	0.4036272499
68	0.4032796664
69	0.4032217306
70	0.4031475658
71	0.4029520139
72	0.4027445689
73	0.4025931154
74	0.402438212
75	0.4023792492
76	0.4022506667
77	0.401766296
78	0.4017600324
79	0.4015800184
80	0.4015262958
81	0.4013764073
82	0.4012758607
83	0.4010998161
84	0.4008335439
85	0.400832843
86	0.400517918
87	0.4004131111
88	0.400413111
89	0.4003497932
90	0.4001619156
91	0.4000487841
92	0.4000391181
93	0.4000009564
94	0.3997682491
95	0.3996527032
96	0.3995964367
97	0.3995050873
98	0.3993949542
99	0.3991926922
100	0.3990008782
101	0.398991382
102	0.3989849786
103	0.3989665026
104	0.3989654441
105	0.3989603266
106	0.3989082024
107	0.3988581695
108	0.3987631394
109	0.3987621907
110	0.398757667
111	0.398756753
112	0.398751011
113	0.3987097913
114	0.3986792535
115	0.3986756539
116	0.3986571304
117	0.3984814632
118	0.3984781748
119	0.3984773307
120	0.3984765031
121	0.3982858274
122	0.3981638448
123	0.398160355
124	0.3979596135
125	0.3978521412
126	0.3978493443
127	0.3978485446
128	0.3977435053
129	0.3977409852
130	0.3975102743
131	0.3975076964
132	0.3973253124
133	0.3973233828
134	0.3973220569
135	0.397251553
136	0.3969547999
137	0.3969508388
138	0.3969490244
139	0.3969103018
140	0.3969095613
141	0.3966481146
142	0.396574788
143	0.3965460827
144	0.3965417515
145	0.3965125042
146	0.3965105203
147	0.3965091381
