iter	Passed	Remaining
0	40	40545
1	82	41372
2	120	40121
3	168	42072
4	196	39069
5	217	36041
6	250	35576
7	273	33940
8	313	34567
9	381	37802
10	426	38366
11	481	39622
12	524	39789
13	578	40762
14	638	41957
15	668	41114
16	676	39093
17	726	39607
18	775	40031
19	830	40673
20	877	40911
21	935	41601
22	987	41967
23	1028	41817
24	1061	41409
25	1118	41901
26	1169	42157
27	1196	41525
28	1240	41537
29	1295	41889
30	1345	42054
31	1398	42295
32	1445	42351
33	1489	42330
34	1529	42180
35	1561	41812
36	1607	41826
37	1662	42089
38	1689	41630
39	1717	41213
40	1760	41170
41	1786	40754
42	1848	41137
43	1905	41406
44	1965	41706
45	2014	41789
46	2065	41890
47	2110	41866
48	2149	41726
49	2176	41360
50	2221	41340
51	2266	41317
52	2326	41578
53	2365	41446
54	2392	41105
55	2432	41003
56	2484	41097
57	2527	41051
58	2564	40899
59	2610	40897
60	2649	40781
61	2691	40713
62	2741	40774
63	2771	40531
64	2778	39968
65	2840	40202
66	2875	40038
67	2899	39739
68	2929	39526
69	2971	39482
70	3012	39411
71	3044	39246
72	3089	39229
73	3139	39280
74	3177	39189
75	3205	38973
76	3247	38922
77	3285	38830
78	3326	38782
79	3365	38699
80	3400	38582
81	3443	38545
82	3492	38586
83	3533	38535
84	3581	38555
85	3619	38468
86	3657	38380
87	3700	38354
88	3733	38217
89	3789	38313
90	3798	37938
91	3835	37858
92	3888	37919
93	3897	37560
94	3941	37551
95	3984	37525
96	4036	37572
97	4070	37461
98	4106	37374
99	4144	37301
100	4165	37074
101	4204	37017
102	4237	36906
103	4285	36921
104	4306	36706
105	4344	36640
106	4362	36411
107	4408	36408
108	4462	36476
109	4489	36323
110	4522	36224
111	4579	36306
112	4620	36265
113	4657	36197
114	4677	35993
115	4725	36008
116	4784	36105
117	4821	36038
118	4870	36059
119	4930	36158
120	4962	36047
121	5011	36063
122	5053	36035
123	5095	35997
124	5147	36032
125	5175	35898
126	5191	35684
127	5213	35519
128	5234	35341
129	5288	35391
130	5304	35188
131	5331	35058
132	5338	34798
133	5382	34782
134	5409	34663
135	5449	34618
136	5469	34456
137	5492	34308
138	5525	34227
139	5568	34209
140	5607	34163
141	5632	34033
142	5655	33894
143	5693	33844
144	5730	33787
145	5776	33785
146	5817	33759
147	5862	33750
148	5890	33645
149	5911	33500
150	5944	33425
151	5960	33252
152	5989	33155
153	6008	33007
154	6028	32862
155	6062	32797
156	6101	32762
157	6133	32685
158	6176	32671
159	6211	32610
160	6234	32488
161	6272	32445
162	6292	32311
163	6306	32147
164	6329	32030
165	6371	32009
166	6383	31838
167	6410	31746
