iter	Logloss
0	0.675233801
1	0.6578584659
2	0.6387181378
3	0.6215308933
4	0.6084626271
5	0.5965779316
6	0.582838107
7	0.5715672715
8	0.5592186039
9	0.5489229906
10	0.5394046985
11	0.5305763444
12	0.5234048326
13	0.515428054
14	0.5077315674
15	0.5028202844
16	0.4984156399
17	0.4923323152
18	0.4868380028
19	0.4813271851
20	0.4763195895
21	0.4715970499
22	0.4668329835
23	0.4635644111
24	0.4614625463
25	0.4579128284
26	0.4543503611
27	0.452212486
28	0.449024523
29	0.445431382
30	0.4426401438
31	0.4395476853
32	0.4374928446
33	0.4353469479
34	0.433809706
35	0.4324259763
36	0.4303933494
37	0.4286841711
38	0.4278571032
39	0.4266296301
40	0.424721602
41	0.4239477442
42	0.4221015328
43	0.4207577255
44	0.4188431426
45	0.4172841613
46	0.4154736435
47	0.4137744186
48	0.4127255714
49	0.4120914698
50	0.4105698126
51	0.4090331682
52	0.4081927358
53	0.4068132988
54	0.4063459419
55	0.4050841393
56	0.4035000527
57	0.4025191548
58	0.4006847176
59	0.3996736967
60	0.3984634125
61	0.3976233405
62	0.39667718
63	0.3964633476
64	0.3963127171
65	0.3956481199
66	0.3947402849
67	0.3945956632
68	0.3944571358
69	0.3936976655
70	0.3929539595
71	0.3926626941
72	0.3919971614
73	0.3911947213
74	0.3898921767
75	0.3895642526
76	0.3888010905
77	0.3879634378
78	0.3871412097
79	0.3861063567
80	0.3856313179
81	0.3849708804
82	0.3846115961
83	0.3836342759
84	0.3829290318
85	0.3817479688
86	0.3812476943
87	0.3804972274
88	0.3798277095
89	0.3794146326
90	0.379388322
91	0.3788796958
92	0.3786446358
93	0.378626083
94	0.3782544307
95	0.3771558034
96	0.3769113986
97	0.3760870589
98	0.3758911073
99	0.3751167937
100	0.3750285089
101	0.3748751783
102	0.3747493204
103	0.3743565222
104	0.3743107092
105	0.3738767871
106	0.3737456894
107	0.3732730123
108	0.3729566415
109	0.3729139713
110	0.3726951457
111	0.3723424625
112	0.3722221648
113	0.3714779473
114	0.3714618362
115	0.3712931445
116	0.3711002174
117	0.3710065402
118	0.3705871555
119	0.3700445854
120	0.3700157135
121	0.3697998873
122	0.3693723767
123	0.3688230018
124	0.3681042933
125	0.3678748625
126	0.3678573417
127	0.3678261911
128	0.3677939652
129	0.367388565
130	0.3673536683
131	0.3673457731
132	0.3673445439
133	0.3671371071
134	0.3666974882
135	0.3661446378
136	0.366080385
137	0.3660545154
138	0.3653985596
139	0.3650140938
140	0.3648743055
141	0.3647494444
142	0.3647023849
143	0.3644779088
144	0.3636942777
145	0.3631306315
146	0.3627467857
147	0.3626350277
148	0.3623275111
149	0.3623210978
150	0.3620710479
151	0.3619520094
152	0.3615283957
153	0.3614302323
154	0.3614154974
155	0.3610801699
156	0.3608511228
157	0.3607697208
158	0.3605154689
159	0.3600421343
160	0.3600195075
161	0.359451997
162	0.3594300496
163	0.3594229754
164	0.3590509379
165	0.3584313753
166	0.3584312887
167	0.3584295481
